luxes, temp, hum, curr, volt, power, dd,hh,mm
10462.72,33,31,0.25,14.8,3.74,21,16,27
11171.84,33,34,0.27,14.8,3.98,21,16,22
12129.28,33,31,0.29,14.81,4.26,21,16,17
13342.72,33,31,0.31,14.82,4.58,21,16,12
13818.88,33,31,0.32,14.83,4.83,21,16,7
14571.52,33,29,0.34,14.84,4.97,21,16,2
15134.72,33,29,0.34,14.85,5.08,21,15,57
16276.48,34,32,0.35,14.85,5.18,21,15,52
17771.52,35,28,0.37,14.86,5.48,21,15,47
18519.04,37,27,0.38,14.87,5.64,21,15,42
19061.76,39,25,0.39,14.88,5.84,21,15,37
18862.08,37,25,0.4,14.88,5.95,21,15,32
19522.56,38,25,0.42,14.89,6.2,21,15,27
19778.56,36,26,0.43,14.9,6.43,21,15,22
20828.16,37,26,0.43,14.9,6.41,21,15,17
22016,38,26,0.44,14.9,6.5,21,15,12
21913.6,38,25,0.45,14.91,6.73,21,15,7
22487.04,36,29,0.46,14.91,6.87,21,15,2
22568.96,37,28,0.48,14.93,7.1,21,14,57
22016,40,24,0.48,14.93,7.18,21,14,52
21606.4,38,26,0.49,14.93,7.24,21,14,47
22425.6,38,28,0.5,14.94,7.4,21,14,42
23705.6,39,26,0.5,14.94,7.53,21,14,37
24586.24,36,26,0.52,14.94,7.73,21,14,32
26275.84,40,24,0.52,14.96,7.8,21,14,27
27013.12,39,26,0.54,14.96,8,21,14,22
27176.96,35,31,0.54,14.97,8.14,21,14,17
28866.56,36,28,0.55,14.97,8.23,21,14,12
30033.92,36,25,0.55,14.98,8.29,21,14,7
30873.6,37,25,0.56,14.97,8.37,21,14,2
32215.04,39,25,0.56,14.97,8.35,21,13,57
32552.96,41,23,0.56,14.98,8.45,21,13,52
32778.24,39,25,0.57,14.98,8.52,21,13,47
33884.16,39,27,0.57,14.98,8.52,21,13,42
34990.08,37,28,0.57,14.99,8.6,21,13,37
36986.88,40,25,0.58,14.99,8.64,21,13,32
37918.72,40,25,0.58,14.99,8.64,21,13,27
38195.2,40,26,0.59,14.99,8.78,21,13,22
38246.4,38,28,0.58,14.99,8.73,21,13,17
37939.2,38,28,0.58,14.99,8.76,21,13,12
37529.6,38,29,0.58,14.98,8.69,21,13,7
40652.8,41,25,0.59,14.99,8.79,21,13,2
40376.32,42,25,0.58,14.99,8.77,21,12,57
40796.16,41,25,0.59,14.99,8.85,21,12,52
40570.88,39,27,0.6,15,8.99,21,12,47
39383.04,38,30,0.59,14.99,8.85,21,12,42
