luxes, temp, hum, power
30955.52,36,30,8.58
29276.16,33,35,8.49
27832.32,34,32,8.37
27535.36,32,35,8.38
27852.8,35,30,8.15
28436.48,36,30,8.08
28907.52,34,33,7.92
29071.36,33,35,7.96
27351.04,32,34,7.88
26357.76,30,37,7.96
22405.12,26,43,7.09
19169.28,27,42,6
12072.96,30,37,3.9
16122.88,34,32,4.89
21155.84,32,35,6.52
26593.28,31,36,7.92
23644.16,30,38,7.35
21442.56,30,39,6.91
20848.64,28,40,6.69
20065.28,27,43,6.52
17940.48,26,43,6.28
15349.76,26,45,6.2
13706.24,23,49,6.03
13649.92,22,51,5.47
16220.16,21,52,5.79
14520.32,23,50,5.32
14351.36,22,52,5.31
12912.64,21,56,5.08
11811.84,20,59,4.75
5294.08,18,63,2.06
11704.32,18,63,4.44
8056.32,17,64,2.96
11489.28,17,66,4.07
7687.68,16,69,2.85
6850.56,14,76,2.73
5222.4,12,84,1.97
3448.32,12,82,1.23
6218.24,14,79,2.38
6919.68,13,82,2.23
3307.52,12,84,1.18
5813.76,10,98,1.8
3312.64,8,99,1.15
5841.92,24,51,1.28
6241.28,25,49,1.65
6522.88,25,49,1.61
7861.76,26,47,2.51
9251.84,27,45,2.82
10711.04,27,45,3.12
11612.16,27,44,3.44
11801.6,28,42,3.67
12144.64,29,41,3.99
12963.84,30,39,4.31
12994.56,30,37,4.56
13931.52,30,37,4.83
14714.88,30,37,5.07
15656.96,30,37,5.31
15805.44,30,38,5.52
17003.52,31,36,5.72
17623.04,31,36,5.9
19758.08,32,35,6.07
20879.36,34,29,6.23
21534.72,33,32,6.41
21626.88,34,31,6.58
21647.36,34,30,6.75
21391.36,34,32,6.87
21749.76,34,31,6.98
23398.4,35,30,7.1
25405.44,36,29,7.26
24954.88,36,29,7.39
24504.32,36,29,7.51
24248.32,36,29,7.63
23429.12,37,28,7.73
23296,37,28,7.83
24340.48,39,28,7.95
25333.76,37,27,8.06
26429.44,39,25,8.15
27996.16,40,25,8.22
28487.68,39,25,8.28
28815.36,40,25,8.35
30197.76,38,25,8.55
32829.44,39,23,8.85
27504.64,39,23,7.55
19307.52,39,21,5.53
28057.6,43,18,7.49
35143.68,44,18,8.92
36812.8,43,20,8.92
40478.72,41,21,9.05
40478.72,40,21,9.32
32921.6,40,21,7.73
41000.96,41,21,9.2
40069.12,41,24,9.18
39710.72,39,27,9.11
40202.24,40,26,9.08
40222.72,40,26,8.91
41615.36,40,27,8.99
41123.84,38,28,8.95
40867.84,38,28,9
40222.72,38,30,9.01
39905.28,38,29,8.95
40355.84,41,27,9.04
39690.24,42,25,9
39485.44,42,25,9.02
38819.84,41,26,9.04
37427.2,41,28,8.67
36925.44,40,27,9.11
32675.84,40,28,8.49
32112.64,40,28,8.31
37437.44,38,30,9.04
37437.44,38,31,8.97
34600.96,35,34,8.92
34600.96,35,34,8.78
33914.88,37,31,8.69
34795.52,39,30,8.61
33976.32,37,31,8.59
31426.56,38,30,8.52
28835.84,38,31,8.46
26716.16,34,36,8.22
26941.44,33,37,8.38
28047.36,34,37,8.23
28200.96,34,35,8.13
29122.56,33,37,8.09
28416,34,36,7.97
27637.76,32,37,7.92
26368,33,36,7.88
25692.16,32,38,7.81
25907.2,31,40,7.69
25528.32,30,40,7.54
24739.84,31,38,7.33
23070.72,29,42,7.24
22384.64,28,44,7.13
22016,27,45,7.01
21370.88,29,43,6.82
20812.8,27,47,6.67
20439.04,28,44,6.54
17976.32,28,43,6.27
15933.44,27,45,6.2
14438.4,24,49,6
15093.76,26,47,5.84
15831.04,26,48,5.61
14776.32,25,50,5.39
13434.88,24,53,5.16
12124.16,23,55,4.89
11202.56,22,58,4.62
10792.96,20,61,4.3
10639.36,20,62,3.98
10329.6,20,64,3.7
9735.68,19,66,3.42
8796.16,18,69,3.1
7162.88,18,71,2.8
6906.88,16,75,2.48
6056.96,15,79,2.21
5068.8,15,83,1.95
5378.56,13,89,1.72
4838.4,12,98,1.47
4218.88,10,100,1.27
5616.64,28,42,1.23
6013.44,28,42,1.61
6504.96,28,40,2.02
7897.6,30,37,2.43
9085.44,30,37,2.73
10654.72,30,37,3.05
11724.8,31,35,3.38
12257.28,30,37,3.66
12241.92,30,36,3.94
12574.72,32,35,4.19
13025.28,31,36,4.44
14003.2,31,35,4.72
14525.44,31,36,4.97
15534.08,32,37,5.18
15370.24,31,36,5.4
16732.16,33,33,5.58
17623.04,33,34,5.8
19712,32,33,6.04
21094.4,34,32,6.14
21575.68,34,30,6.39
21657.6,36,29,6.48
21800.96,33,32,6.71
21585.92,36,28,6.85
22138.88,34,30,6.99
24053.76,36,28,7.07
25569.28,35,32,7.22
25313.28,36,29,7.37
24166.4,37,29,7.45
24555.52,37,28,7.6
23623.68,36,29,7.76
23142.4,38,26,7.87
24279.04,37,29,8
25108.48,37,28,8.08
26142.72,38,26,8.19
27668.48,39,26,8.27
28579.84,35,29,8.41
29317.12,37,27,8.42
30586.88,40,24,8.49
32419.84,38,26,8.58
32849.92,37,28,8.61
32993.28,39,25,8.69
33976.32,38,26,8.79
34201.6,38,26,8.9
35901.44,37,29,8.86
38789.12,39,25,8.88
38789.12,39,24,8.92
40089.6,39,25,8.96
40304.64,35,29,9.09
39720.96,35,29,9.11
40110.08,38,28,9.02
39987.2,38,26,9.02
41021.44,36,29,9.19
42680.32,38,27,9.13
42168.32,41,24,9.04
41656.32,40,23,9.14
41031.68,36,27,9.19
41902.08,40,24,9.18
40581.12,39,26,9.01
40345.6,36,28,9.1
40396.8,40,25,8.96
39464.96,38,26,9.06
39342.08,38,28,9.08
37591.04,39,25,9.08
35942.4,38,26,9.09
37263.36,38,25,9.05
37908.48,38,25,9.01
37908.48,37,27,8.97
37775.36,38,24,9.01
36628.48,38,24,8.93
36024.32,35,28,8.93
35809.28,39,23,8.77
35072,37,25,8.73
32286.72,38,23,8.65
29532.16,38,24,8.65
27863.04,36,25,8.61
27166.72,37,24,8.49
27893.76,38,24,8.45
29409.28,37,24,8.35
30197.76,33,28,8.32
29552.64,36,25,8.26
28487.68,36,26,8.15
26746.88,35,27,8.05
25446.4,34,29,7.99
26880,32,30,7.91
26890.24,30,32,7.8
25835.52,31,30,7.64
23592.96,30,33,7.53
22927.36,30,33,7.41
22784,29,36,7.31
22394.88,28,37,7.14
